word,english,frequency
sköterskor,nurses shoes,252
indianen,the indian,252
brevlådan,the mailbox,252
registreringsnummer,registration number,252
bärbara,portable,252
forska,research,252
middagar,dinners,252
återfall,relapse,252
harding,Harding,252
hamptons,hampton's,252
caldwell,caldwell,252
smicker,flattery,252
neapel,Naples,252
ynklig,pitiful,252
bankkonton,bank accounts,252
hängning,hanging,252
french,french,251
parkerat,parked,251
myndigheten,the authority,251
albany,albany,251
motståndaren,the opponent,251
spökar,ghosts,251
hackare,hacker,251
braun,braun,251
cho,cho,251
mötes,meet,251
frisören,the hairdresser,251
längesedan,long time ago,251
fullo,drunk,251
brödraskap,brotherhood,251
skördar,harvests,251
nyaste,newest,251
fyren,the lighthouse,251
jurister,lawyers,251
exorcism,exorcism,251
bills,bills,251
key,key,251
pretty,pretty,251
skräckfilm,horror film,251
riskerat,risked,251
skräddare,tailor,251
lowell,Lowell,251
skickad,sent,251
genève,Geneva,251
offensiv,offensive,251
paranoida,paranoid,251
skalet,the shell,251
äggröra,scrambled eggs,251
que,que,251
videor,videos,251
berta,tell,251
scouterna,the scouts,251
eländig,seamy,251
varvet,the lap,251
ante,ante,251
domar,Judges,251
ambrose,ambrose,250
ståndpunkt,position,250
sigill,SEAL,250
melody,melody,250
styrman,mate,250
lew,lew,250
repliken,the replica,250
hursa,hurrah,250
kärleksbrev,love letter,250
upphäva,repeal,250
appen,the app,250
louisa,louisa,250
mavis,Mavis,250
mattor,carpets,250
färgad,colored,250
borrar,drills,250
guldmynt,gold coin,250
haiti,Haiti,250
kimberly,kimberly,250
vitala,vital,250
orätt,wrong,250
raphael,raphael,250
skitsnygg,gorgeous,250
superhjältar,superheroes,250
skitprat,bullshit,250
stabilisera,stabilize,250
infrastruktur,infrastructure,250
antik,antique,250
here,here,250
användbara,useful,250
slingra,meander,250
romanen,the novel,250
inbrottstjuv,burglar,250
kapsel,capsule,250
frestelse,temptation,250
krabba,crab,250
förlikning,conciliation,250
skvätt,splash,250
serietidningar,comic books,250
lömska,sneaky,250
viper,Viper,250
människoliv,human life,249
överträffar,surpasses,249
sminket,the makeup,249
expandera,expand,249
kedjorna,the chains,249
jor-el,jor-el,249
toner,tones,249
michele,michele,249
vattna,water,249
diplomatisk,diplomatic,249
misty,misty,249
lämpad,suited,249
abbey,abbey,249
wozniak,wozniak,249
beträffar,concerns,249
arresterades,was arrested,249
förnuftigt,sensible,249
sköterskorna,the nurses,249
kanslern,the chancellor,249
caesars,Caesar's,249
salta,salt,249
slumpmässiga,random,249
husarrest,house arrest,249
talia,talia,249
lutade,leaned,249
slits,slit,249
pulvret,the powder,249
gordo,Gordo,249
mendez,Mendez,249
husrum,house room,249
förstärker,amplifies,249
öar,islands,249
soptunna,dust-bin,249
arme,army,249
clarissa,clarissa,249
sibirien,Siberia,249
impuls,impulse,249
hendricks,hendricks,249
driscoll,threshing floor,249
skakad,shaken,249
newt,newt,249
ställdes,was asked,249
vinge,wing,249
tablett,tablet,249
houdini,houdini,249
funnen,found,249
strumpa,stocking,249
upprätta,establish,249
nekade,denied,249
lydnad,obedience,249
jetplan,jet,249
himmelska,heavenly,249
lennox,lennox,249
prosit,congratulations,248
gårdagen,yesterday,248
quincy,quincy,248
orimligt,unreasonable,248
vu,wow,248
dubbelgångare,doubles,248
algoritm,algorithm,248
krokarna,the hooks,248
blommar,blooms,248
vävnaden,the tissue,248
regemente,regiment,248
klump,lump,248
könet,the sex,248
at-läkare,at doctor,248
undersökas,be investigated,248
eder,your,248
presenterat,presented,248
skitjobb,crap job,248
lokalbefolkningen,the local population,248
kip,kip,248
gravsten,headstone,248
ml,ml,248
rooster,rooster,248
artefakter,artifacts,248
reeves,reeves,248
kasper,Punch,248
installerade,installed,248
mexikan,Mexico,248
björnarna,the bears,248
höft,HIP,248
tändsticka,match,248
norm,standard,248
stalingrad,staling grade,248
cyril,Cyril,248
diskar,dishes,248
avfärda,dismiss,248
faktor,factor,248
pistolerna,the guns,248
malin,raspberry,248
förbindelser,connections,248
people,people,248
samson,samson,247
skallar,skulls,247
kiki,kiki,247
snabbis,quickie,247
kajen,the quay,247
förhållandena,the conditions,247
snorunge,snot boy,247
bat,bath,247
dansande,dancing,247
havanna,Havana,247
wing,wing,247
0ch,0 ch,247
eniga,agree,247
lokaliserat,localized,247
imponerar,impresses,247
zedd,zed,247
rica,rica,247
ynkryggar,pity backs,247
seg,tough,247
ki,ki,247
klantat,the customer,247
bevittnat,witnessed,247
öppnats,opened,247
snåla,scrimp,247
hånglar,hangs out,247
respektabel,respectable,247
diggar,digs,247
sprutade,sprayed,247
snaran,the noose,247
solar,solar,247
flygfältet,the airfield,247
cup,cup,247
övergången,the transition,247
labyrinten,the labyrinth,246
utomjordiskt,extraterrestrial,246
lotta,lottery,246
mästerskapet,the championship,246
sheriffens,sheriff's,246
rapporteras,is reported,246
tibet,Tibet,246
fastbunden,tied down,246
passat,fit,246
gareth,gareth,246
mjukvara,software,246
marys,mary's,246
six,six,246
selma,Selma,246
uppnår,achieves,246
väljarna,the voters,246
katja,Katja,246
kroppens,of the body,246
waldo,Waldo,246
förvandlingen,the transformation,246
bowling,bowling,246
århundrade,century,246
checkat,checked,246
kryssning,cruise,246
rach,rach,246
hadley,Hadley,246
hello,Hello,246
devil,devil,246
civilisationer,civilizations,246
ynka,puny,246
trixie,trixie,246
eliten,the elite,246
höfter,hips,246
kamel,camel,246
soprano,soprano,246
kalsongerna,the underpants,246
definition,definition,246
jag-,I-,246
benton,concrete,246
intellektuell,intellectual,246
assistans,assistance,246
killian,killian,246
nato,NATO,246
gigantiska,gigantic,246
skithögar,piles of shit,246
bombar,bombs,246
hjärtligt,cordially,246
moderskeppet,the mother ship,246
färdats,traveled,246
heart,heart,246
darlene,Darlene,246
ömt,tenderly,245
klarare,clearer,245
århundradet,century,245
behag,Grace,245
hämtas,be picked up,245
avliden,deceased,245
personnummer,social security number,245
mahoney,Mahoney,245
klimat,climate,245
kapar,hijack,245
yankee,yankee,245
bruka,farm,245
behållit,retained,245
hugget,chopped,245
nagel,nail,245
kensi,Kensi,245
hyggligt,decent,245
alger,Algiers,245
obehag,discomfort,245
grillar,barbecues,245
dåd,deed,245
mörke,darkness,245
talare,speaker,245
plundrade,looted,245
klimatet,the climate,245
arten,the species,245
tempo,tempo,245
uns,ounce,245
smiley,smiley,245
she,she,245
bagageutrymmet,the luggage compartment,245
atf,atf,245
överstyr,override,245
bulle,bun,245
boxen,the box,245
lennon,lennon,245
utbrottet,the outbreak,245
bee,bee,245
stup,precipice,245
förmedla,mediate,245
brygga,bridge,245
niggrer,niggers,245
mos,mash,245
capital,capital,245
mad,food,245
stödde,supported,245
misstänksamma,suspicious,245
bokstav,letter,245
intala,persuade,245
vilje,will,245
lättaste,easiest,245
rullstolen,the wheelchair,245
tiotusentals,tens of thousands,245
kommitté,committee,245
obehagliga,unpleasant,245
skandalöst,scandalous,245
förvaras,stored,245
sjukhusets,the hospital's,245
våldtäktsman,rapist,245
bitcoin,bitcoin,245
huka,crouch,244
ihåliga,hollow,244
rays,rays,244
puma,puma,244
loge,Lodge,244
rivera,rip,244
chicken,chicken,244
1900-talet,20th century,244
detaljerad,detailed,244
knockade,knocked,244
återuppstå,resurrect,244
därtill,thereto,244
allvaret,the seriousness,244
ärkebiskopen,the archbishop,244
harmlös,harmless,244
torsk,cod,244
padda,toad,244
sveper,sweeps,244
swat,swat,244
truppen,the squad,244
egan,own,244
kinder,cheeks,244
åtgärda,remedy,244
provspelning,audition,244
macy,macy,244
varningar,warnings,244
molnet,the cloud,244
skräcken,the horror,244
flugan,the fly,244
kepsen,the cap,244
studios,studios,244
airlines,airlines,244
användare,user,244
radioaktiv,radioactive,244
sanne,true,244
cahill,cahill,244
papegoja,parrot,244
utplånas,wiped out,244
införa,introduce,244
skänkt,gifted,244
dumhuvud,dunce,244
kusins,cousin's,244
ledighet,leave,244
ridån,the curtain,244
cornell,cornel,244
förbättras,improve,244
fångna,catch,244
dränkte,drowned,244
nås,be reached,244
asiatisk,Asian,244
ytliga,superficial,244
baddräkt,swimsuit,244
castro,castro,244
svaranden,the defendant,243
bowla,bowl,243
jakes,Jakes,243
sparks,kicks,243
skolbalen,the prom,243
cornelius,Cornelius,243
utvärdera,evaluate,243
sudan,Sudan,243
servetter,napkins,243
soul,soul,243
upphetsande,exciting,243
rymdvarelser,aliens,243
omtanken,the concern,243
meadow,meadow,243
slarvigt,carelessly,243
murph,murph,243
uppmuntrande,encouraging,243
kompromiss,compromise,243
lã,là,243
music,music,243
lan,lan,243
kartong,cardboard,243
prickskytt,sniper,243
nazir,nazir,243
osäkerhet,uncertainty,243
ruthie,Ruthie,243
posta,post,243
ultimatum,ultimatum,243
maraton,marathon,243
växten,the plant,243
salladen,the salad,243
oleg,illegitimate,243
älvor,fairies,243
eagles,eagles,243
bukten,the bay,243
lorna,Lorraine,243
polisassistent,police assistant,243
eskorterar,escorts,243
advokatbyrå,law firm,243
pá,pa,243
majoritet,majority,243
mils,miles,243
slocknat,extinguished,243
handikappade,handicapped,243
whitman,whitman,243
evil,evil,243
hebreiska,Hebrew,242
granskar,reviews,242
demo,demo,242
byns,village,242
bright,bright,242
marius,Marius,242
rehabilitering,rehabilitation,242
upprymd,elated,242
katy,Katy,242
erbjuden,offered,242
undergången,the downfall,242
sexigare,sexier,242
patrullen,the patrol,242
återkom,returned,242
turbo,turbo,242
diket,the ditch,242
fete,fat,242
rosorna,the roses,242
opp,up,242
återuppbygga,rebuild,242
diplomati,diplomacy,242
kidnapparen,the kidnapper,242
natts,at night,242
åtalades,was charged,242
jacqueline,Jacqueline,242
bisarra,bizarre,242
tyrann,tyrant,242
erfarna,experienced,242
historiker,historian,242
ruben,ruben,242
helgat,hallowed,242
casanova,casanova,242
fallna,fallen,242
illusioner,illusions,242
dräkterna,the costumes,242
guthrie,Guthrie,242
ruset,the rush,242
ravinen,the ravine,242
ryskt,Russian,242
hissar,elevators,242
tunnan,the barrel,242
winger,winger,242
drickande,drinking,242
fräls,saved,242
morgonrock,housecoat,242
självupptagen,self-absorbed,242
sä,say,242
fängelsestraff,imprisonment,242
kvast,broom,241
organism,organism,241
bankrutt,bankrupt,241
ipod,ipod,241
överlåter,hands over,241
välbehållen,well maintained,241
sims,Sims,241
chrissy,chrissy,241
vägrat,refused,241
t.j.,e.g.,241
berusade,drunk,241
boog,bow,241
morföräldrar,grandparents,241
fibrer,fibers,241
runkade,jerked off,241
atwood,atwood,241
malmö,malmö,241
anklagades,was accused,241
grus,Gravel,241
kemtvätt,dry cleaning,241
mai,May,241
petter,Peter,241
missilerna,the missiles,241
portugal,Portugal,241
whitey,whitey,241
creed,creed,241
als,als,241
kalorier,calories,241
2000-talet,2000s,241
athos,athos,241
lise,lise,241
städerska,cleaner,241
stoft,dust,241
primitiv,primitive,241
plattform,platform,241
amos,amos,241
moran,the moron,241
försonas,be reconciled,241
läppen,the lip,241
tvättbjörn,raccoon,241
borgerna,the citizens,241
montera,mount,241
småpengar,small change,241
slående,striking,241
pro,pro,241
genomgår,undergoes,241
teri,teri,241
förutsägbar,predictable,241
skyttar,shooters,240
därhemma,at home,240
cardassierna,the Cardassians,240
utlåtande,opinion,240
kulhål,bullet hole,240
förvisso,certainly,240
bankfack,bank deposit box,240
försoning,reconciliation,240
provspela,audition,240
asher,asher,240
arsenal,arsenal,240
eldkraft,fire power,240
graves,are buried,240
porrfilm,porn movie,240
trånga,crowded,240
desamma,same,240
oden,the oden,240
jordbruk,Agriculture,240
förjag,pre-self,240
varumärke,trademark,240
rice,rice,240
slaveriet,slavery,240
förhören,the interrogation,240
anlända,arrive,240
rommel,rumble,240
tegelsten,brick,240
there,there,240
payne,payne,240
byracka,cur,240
anstalt,institution,240
filter,filter,240
anarki,anarchy,240
imitera,imitate,240
plågad,tormented,240
drabbat,affected,240
motiverad,motivated,240
sacramento,sacramento,240
grundligt,thoroughly,240
pratt,talk,240
stubbs,stubs,240
sutter,sucks,240
potatisen,the potato,240
dna-prov,dna sample,240
signalerna,the signals,240
avlyssnar,eavesdropping,240
koreanska,Korean,240
hospital,hospital,240
snokade,snooped,240
plutonen,the platoon,240
kompetent,competent,240
farmer,farmer,240
förbundet,the union,240
arroganta,arrogant,239
utskriven,discharged,239
prövningar,trials,239
tappert,bravely,239
trådarna,the threads,239
underjordisk,underground,239
närstående,close relatives,239
introducera,introduce,239
maskopi,collusion,239
ste,Ste,239
clifford,clifford,239
georgetown,georgetown,239
ensamheten,the loneliness,239
telefonkiosk,phone booth,239
provision,commission,239
stjärten,the tail,239
prästerna,the priests,239
årsdag,anniversary,239
clarice,clarice,239
quarterback,quarterback,239
brianna,brianna,239
beskjuten,shelled,239
skyltarna,the signs,239
väninnor,girlfriends,239
chucks,Chucks,239
skyddsling,protege,239
nigga,nigga,239
mordvapen,murder weapon,239
industrin,the industry,239
ronder,rounds,239
sjua,seven,239
uppklädd,dressed up,239
städning,cleaning,239
hernandez,hernandez,239
jämlika,equal,239
bengt,bent,239
georg,george,239
nappar,nibbles,239
renhet,purity,239
skyddsrum,shelter,239
tolfte,twelfth,239
framifrån,from the front,239
bröllopsdagen,the wedding day,239
aktuella,current,239
detektiven,the detective,239
middagstid,noon time,239
välmående,prosperous,238
barnsliga,childish,238
kryptonit,kryptonite,238
mässen,the fair,238
suzy,suzy,238
fyllas,be filled,238
shorty,shorty,238
förmiddagen,the morning,238
konserter,concerts,238
sirener,sirens,238
vas,vase,238
how,how,238
vada,wade,238
justitieministern,the Minister of Justice,238
lagad,cooked,238
smärtsamma,painful,238
tofflor,slippers,238
uppfostrad,raised,238
karaoke,karaoke,238
grande,big,238
smittsamt,contagious,238
koldioxid,carbon dioxide,238
barriären,the barrier,238
keaton,Keaton,238
formalitet,formality,238
skilt,separated,238
styrt,controlled,238
ogilla,dislike,238
chanserna,the chances,238
avtrycken,the imprints,238
komplott,conspiracy,238
area,area,238
förtjänt,deserved,238
självständighet,autonomy,238
elegans,elegance,238
sekel,century,238
verkställande,executive,238
pelle,dude,238
smakprov,taste test,238
toppar,tops,238
toapapper,toilet paper,238
lastbilarna,the trucks,237
koks,Coke,237
alejandro,alejandro,237
thorpe,thorpe,237
kringgå,circumvent,237
odessa,Odessa,237
förnya,renew,237
thatcher,thatch,237
addy,addy,237
riggat,rigged,237
spegelbild,reflection,237
evolution,evolution,237
falk,falcon,237
madsen,the food,237
demokratiska,democratic,237
micky,Mickey,237
sk,so-called,237
vii,vii,237
barrow,barrow,237
marquez,marquez,237
davenport,davenport,237
avlyssnade,eavesdropped,237
körs,is running,237
slogan,slogan,237
googla,google,237
gudomligt,divine,237
katoliker,Catholics,237
lösen,ransom,237
uppfinna,invent,237
turbulens,turbulence,237
ljuv,delightful,237
efterblivna,left behind,237
fluffy,fluffy,237
alltihopa,all of it,237
dinosaurie,dinosaur,237
undsättning,rescue,237
servern,the server,237
marlo,Marlo,237
juvelerna,the jewels,237
skannar,scans,237
teleskop,telescopic,237
evolutionen,the evolution,237
tijuana,tijuana,237
sjukförsäkring,health insurance,237
förpliktelser,obligations,237
mortimer,mortimers,237
ravi,ravi,236
raketerna,the rockets,236
senatorer,senators,236
ofödda,unborn,236
zelena,green,236
genesis,genesis,236
garth,garth,236
miljardär,billionaire,236
påståenden,claims,236
konkurrensen,the competition,236
lärdom,learning,236
förläggare,publisher,236
initiativet,the initiative,236
natti,night,236
fanjunkare,Master Sergeant,236
samhällen,societies,236
señora,señora,236
spanjorerna,the spaniards,236
korsat,crossed,236
mcqueen,mcqueen,236
fury,fury,236
hemmaplan,home ground,236
bankens,the bank's,236
tyck,think,236
isobel,isobel,236
iste,iced tea,236
burma,Burma,236
besittning,possession,236
cutter,cutter,236
see,see,236
pancho,pancho,236
tågen,the trains,236
arbetstid,working hours,236
brista,burst,236
vous,vous,236
tommys,tommy's,236
bolt,bolt,236
bestraffning,punishment,236
pucken,the puck,236
konkurrent,competitor,236
hantverk,crafts,236
ån,river,235
rampen,the ramp,235
flämtar,gasps,235
turas,take turns,235
rollfigur,character,235
vilade,rested,235
vandrat,wandered,235
lotteri,lottery,235
hantverkare,craftsman,235
magnet,magnet,235
hilton,Hilton,235
puff,puff,235
rochelle,rochelle,235
förarna,the drivers,235
barbarer,barbarians,235
vindrutan,the windshield,235
planeterna,the planets,235
tämja,tame,235
herrgård,mansion,235
avskurna,cut off,235
älskvärd,gracious,235
agerat,acted,235
tupp,rooster,235
temporärt,temporarily,235
tröskeln,the threshold,235
sanningar,truths,235
hemmastadd,hometown,235
gudars,gods,235
radikala,radical,235
bårhus,morgue,235
fabian,Fabian,235
costello,costello,235
dragen,drawn,235
vägkanten,roadside,235
jättesöt,very cute,235
inkompetent,incompetent,235
navigera,navigate,235
shin,shin,235
puberteten,puberty,235
lämpliga,suitable,235
diskuteras,is discussed,235
anslöt,connected,235
invaderar,invades,235
ritchie,ritchie,235
injicera,inject,235
lon,loan,234
skakat,shaken,234
serum,serum,234
sugrör,Straw,234
raines,raines,234
veranda,porch,234
mace,mace,234
avatar,avatar,234
leenden,the smiles,234
arkiven,the archives,234
allergi,allergy,234
halvbror,half brother,234
översittare,bully,234
limousin,limousine,234
försvarsadvokat,defense attorney,234
oturligt,unlucky,234
okej.,okay.,234
terrängen,the terrain,234
gruvarbetare,miner,234
grillade,grilled,234
pilgrim,Pilgrim,234
officerarna,the officers,234
ärtor,peas,234
välstånd,prosperity,234
lekplats,playground,234
open,open,234
tålde,endured,234
patruller,patrols,234
telefonsvararen,the answering machine,234
designer,designer,234
alzheimers,Alzheimer's,234
candace,candace,234
ebay,ebay,234
honor,females,234
charmigt,charming,234
cheng,Cheng,234
lösensumman,the ransom,234
nelly,nelly,234
glödande,glowing,234
kvinnornas,women's,234
brenner,burning,234
marcos,Marcos,234
behövande,Needy,234
pumpen,the pump,234
förekom,occurred,234
susanna,susanna,234
ventilen,the valve,234
kränkande,offensive,234
lannister,Lannisters,234
ögonvittne,eyewitness,234
attraktion,attraction,234
blekmedel,bleach,233
zoey,zoey,233
stämt,sued,233
packning,packing,233
oavsiktligt,unintentionally,233
hemligheterna,the secrets,233
tiberius,Tiberius,233
försvarat,defended,233
oansvarigt,irresponsible,233
variant,variant,233
kittlas,tickle,233
busar,mischief,233
polo,polo,233
stiligt,stylish,233
parsons,parson's,233
jimbo,jimbo,233
moreno,Moreno,233
csi,csi,233
reflexer,reflexes,233
atom,atom,233
avliva,kill,233
uttalade,pronounced,233
förbindelsen,the connection,233
anslag,appropriation,233
kosmos,cosmos,233
silke,Silk,233
förfall,decay,233
puck,puck,233
hjord,flock,233
ugn,oven,233
fullständiga,complete,233
visiontext,vision text,233
dokumentera,document,233
skärrad,cut row,233
ernesto,ernesto,233
fair,fair,233
larv,larva,233
dränkt,drowned,233
överdrev,exaggerated,233
kännetecken,characteristics,233
lagförslaget,the bill,233
hampton,hampton,233
sergio,Sergio,233
bev,bev,233
temat,the theme,233
överlagt,premeditated,233
järnväg,railway,233
bankrånare,bank robber,233
övervakningskamerorna,the surveillance cameras,233
direktiv,directive,233
fästningen,the fortress,232
prime,prime,232
sydvästra,southwest,232
gästlistan,the guest list,232
huvudmisstänkt,prime suspect,232
återkommande,recurrent,232
avskildhet,privacy,232
potentiell,potential,232
feng,feng,232
skrivande,writing,232
presenterna,the presents,232
hojen,the ride,232
huck,huck,232
sergei,Sergey,232
överta,take over,232
whitaker,Whitaker,232
aura,aura,232
ladin,Ladin,232
spårare,tracker,232
paulus,Paul,232
deltid,part time,232
välbefinnande,well-being,232
coco,coco,232
komplexa,complex,232
njurarna,the kidneys,232
israels,Israeli,232
friare,freer,232
vikarie,locum tenens,232
gallret,the grid,232
baseras,is based,232
ankare,anchor,232
tjejs,girl's,232
guido,guido,232
bindande,binding,232
smällde,slammed,232
eldsvåda,Fire,232
pausa,pause,232
tivoli,amusement park,232
avtar,subsides,232
bensinstation,gas station,232
bakfull,hung over,232
medlet,the agent,232
araber,Arabs,232
vâr,spring,232
hive,hives,232
reserverat,reserved,232
casa,house,232
aten,Athens,232
gossen,the kid,232
frimärken,stamps,231
lunchtid,lunch time,231
misstro,distrust,231
tungor,tongues,231
samir,Samir,231
defekt,defective,231
bassängen,the pool,231
nyllet,the novelty,231
bitit,bitten,231
gibbons,gibbons,231
milly,milly,231
rollspel,role play,231
förtryck,oppression,231
skadestånd,damages,231
övervakas,monitored,231
lenore,lenore,231
vildsvin,wild boar,231
barlow,barlow,231
underkläderna,the underwear,231
inspektera,inspect,231
husrannsakningsorder,search warrant,231
magsår,gastric ulcer,231
bestiga,climb,231
syrgas,oxygen,231
uppsatsen,the essay,231
tråka,get bored,231
prioriterar,prioritises,231
viking,Viking,231
beacon,beacon,231
skaldjur,seafood,231
loomis,loomis,231
cain,cain,231
cabe,cabe,231
konkurrera,compete,231
yu,yu,231
roscoe,roscoe,231
kissen,the kitty,231
personligheter,personalities,231
nedslagen,downcast,231
falcone,falcon,231
terri,Terry,231
uppfört,erected,231
tonys,Tony's,231
jättetrevlig,very nice,231
bbc,bbc,231
karla,guy,231
gangstrar,gangsters,231
terence,Terence,231
hâll,hold,231
frekvenser,frequencies,230
sorgsna,sad,230
gröngöling,cub,230
epstein,epstein,230
sökningen,the search,230
hyrbil,rental car,230
spanade,scouted,230
katastrofer,disasters,230
ingredienser,ingredients,230
timmes,hour,230
strukturen,the structure,230
arab,Arab,230
schneider,schneider,230
deg,dough,230
plasma,plasma,230
departementet,the ministry,230
rentav,even,230
marshmallows,marshmallows,230
kortspel,card game,230
karriärer,careers,230
gömställen,hiding places,230
elektroniska,electronic,230
färja,ferry,230
frieri,courtship,230
mission,mission,230
kidd,kid,230
våldtagit,raped,230
gregor,gregor,230
sjukhusen,the hospitals,230
rättare,more correct,230
aggression,aggression,230
saxen,the scissors,230
rikard,Richard,230
affischer,posters,230
ögonbindel,blindfold,230
zebra,Zebra,230
mother,mother,230
matematiker,Mathematician,230
bentley,Bentley,230
marskalk,Marshal,230
obestämd,indeterminate,230
organiserat,organized,230
vänstern,the left,230
wakefield,wakefield,230
sarahs,sarah's,230
efterhand,afterwards,230
flagg,flag,230
vägspärrar,roadblocks,230
starbuck,starbucks,230
lovad,promised,230
amma,breastfeed,230
skajag,I'm kidding,230
samtycker,agrees,230
frälsaren,the savior,230
insatsstyrka,effort force,230
privilegier,privileges,230
gående,walking,230
galan,the gala,230
omen,omen,229
konstruktion,Construction,229
tidslinje,timeline,229
bönorna,the beans,229
tärning,dice,229
sköldpaddan,the turtle,229
lägesrapport,status report,229
grundades,was founded,229
shopping,shopping,229
cosima,Cosima,229
intervjuar,interviews,229
slem,mucus,229
bolton,bolts,229
aramis,aramis,229
rymlingar,fugitives,229
begrepp,concept,229
forum,forum,229
beundransvärt,admirable,229
flotte,raft,229
frånskild,divorced,229
försenat,delayed,229
dm,dm,229
anse,consider,229
tarmar,intestines,229
birgitte,birgitte,229
enskild,Individual,229
åklagarsidan,the prosecutor's side,229
psykologen,the psychologist,229
impulsiv,impulsive,229
piskan,the whip,229
handleder,wrists,229
tillslag,surcharge,229
donnelly,donnelly,229
brudtärna,bridesmaid,229
beröva,deprive,229
firas,celebrated,229
beundran,admiration,229
rationell,rational,229
förutsätter,presupposes,229
vapenhandlare,arms dealer,229
räcket,the railing,229
hjärnskador,brain damage,229
konstgjord,artificial,229
blödig,bloody,229
hängivna,devoted,229
gelé,jelly,229
gorillor,gorillas,229
mariel,mariel,229
manikyr,manicure,229
sirap,syrup,229
sytt,sewn,229
flygfält,airport,229
drevs,was driven,228
mellanmål,snack,228
revoir,resume,228
lifta,hitchhike,228
födelsemärke,birthmark,228
stereo,stereo,228
avdelningar,departments,228
malaria,malaria,228
knackning,knock,228
birdie,birdie,228
vålnad,ghost,228
dame,dame,228
flamma,flame,228
suck,sigh,228
förvandling,transformation,228
kräsen,picky,228
länkar,links,228
strejken,the strike,228
sage,sage,228
vasquez,Vasquez,228
synlig,visible,228
iscensatte,staged,228
cher,cher,228
ödmjuka,humble,228
fusco,Fusco,228
asteroid,asteroid,228
conner,conner,228
påskynda,speed up,228
gurka,cucumber,228
mari,Mary,228
beslutsam,determined,228
hållen,held,228
vee,woe,228
föräldrarnas,parents',228
bakgård,back yard,228
pingvinen,the penguin,228
förlovningsring,engagement ring,228
iordning,arrangement,228
sgc,sgc,228
förövare,perpetrator,228
replikatorerna,the replicators,228
rambo,Rambo,228
publicerar,publishes,228
hornen,the horns,228
vinnarna,the winners,228
försvarsministern,the Minister of Defence,228
polismannen,the policeman,228
moray,moray,228
psykiatrisk,psychiatric,228
ränder,stripes,228
bageri,bakery,228
peruken,the wig,228
skådespelarna,the actors,228
kritiserar,criticizes,228
ytligt,superficially,227
grill,grill,227
hack,notch,227
hangaren,the hangar,227
fixad,fixed,227
talibanerna,the Taliban,227
skärper,sharpens,227
quark,quark,227
ämnar,purposes,227
inez,Inez,227
devlin,devlin,227
nyfödd,new-born,227
mirakulöst,miraculously,227
oartig,impolite,227
åkomma,afflict,227
analyserade,analyzed,227
blockerat,blocked,227
lockhart,lockhart,227
panda,panda,227
memoarer,memoirs,227
referens,reference,227
bertha,Bertha,227
free,free,227
sands,sand,227
törstiga,thirsty,227
definitionen,the definition,227
knäppis,crazy,227
svullna,swollen,227
arkitektur,architecture,227
grillfest,barbecue party,227
biografen,the cinema,227
lämnats,left,227
stenhårt,rock hard,227
kryddor,spices,227
härskarinna,mistress,227
lottade,raffled off,227
signerade,signed,227
chanslös,no chance,227
värdar,hosts,227
återhämtat,recovered,227
överreagerade,overreacted,227
månar,moons,227
unsub,unsub,227
återuppleva,relive,227
kissat,peed,227
sjungit,sung,227
fastighet,real estate,227
hjältarna,the heroes,227
melodin,the melody,227
galgen,the gallows,227
starr,cataract,227
they,they,227
gangsters,gangsters,227
handlare,traders,227
försäkrad,insured,227
arrakis,arrachis,227
arkady,Arkady,226
ögonbrynen,the eyebrows,226
monaco,Monaco,226
wilhelm,Wilhelm,226
mandela,almonds,226
forbes,Forbes,226
bye,bye,226
dubbelkolla,double check,226
bandspelare,tape recorder,226
påpekade,pointed out,226
pol,terminal,226
uppfostrades,was brought up,226
silvret,the silver,226
sålda,sold,226
morot,Carrot,226
uh-huh,uh-huh,226
jämlikhet,equality,226
avund,envy,226
lossnar,loosens,226
förseglade,sealed,226
brallor,brawls,226
förebyggande,prevention,226
rekryter,recruits,226
muriel,Muriel,226
lange,long,226
förutspådde,predicted,226
fotbollsspelare,footballer,226
bronson,bronson,226
intressantare,more interesting,226
tori,tori,226
krigshjälte,war hero,226
hybrid,hybrid,226
sergej,Sergey,226
nyfödda,newborns,226
exploderat,exploded,226
arkansas,arkansas,226
intyg,certificate,226
fighter,fighter,226
seinfeld,Seinfeld,226
ehm,um,226
mögel,mildew,226
diktator,dictator,226
alligator,alligator,226
spagetti,spaghetti,226
fjärrkontroll,remote control,226
tajmning,timing,226
schizofreni,schizophrenia,226
kicken,the kick,226
signora,Mrs,226
hövdingen,the chief,226
brottsregister,criminal records,226
jeanie,jeanie,226
välte,overturned,226
äldst,oldest,226
pattar,knockers,226
samröre,mix together,226
chino,chino,225
klo,claw,225
lemmar,limbs,225
ös,ooze,225
ledningarna,the wires,225
lögnaktiga,lying,225
vovven,the doggy,225
titlar,titles,225
tummar,thumbs,225
washingtons,washington's,225
crockett,croquet,225
hälft,half,225
drönaren,the drone,225
ledamot,member,225
dudley,dudley,225
institutionen,the institution,225
knope,knot,225
finansiering,financing,225
mellannamn,middle name,225
bunten,the bundle,225
förbannar,cursing,225
varuhus,department store,225
smidig,smooth,225
behandlades,was treated,225
nunnorna,the nuns,225
påstått,alleged,225
skelettet,the skeleton,225
lam,lame,225
skipas,shipped,225
hub,hub,225
falken,the falcon,225
pågå,going on,225
haltar,limping,225
hanterat,handled,225
